时间,错误量
1552543160626,0
1552543170598,0
1552543180601,0
1552543190601,0
1552543200602,0
1552543210604,0
1552543220609,0
1552543230612,0
1552543240612,0
1552543250613,0
1552543260615,0
1552543270617,0
1552543280622,0
1552543290628,0
1552543300628,0
1552543310633,0
1552543320635,0
1552543330637,0
1552543340641,0
1552543350642,0
1552543360643,0
1552543370649,0
1552543380652,0
1552543390652,0
1552543400656,0
1552543410658,0
1552543420664,0
1552543430664,0
1552544474433,0
1552544484416,0
1552544494415,0
1552544504418,0
1552544514423,0
1552544524424,0
1552544534425,0
1552544544424,0
1552544554432,0
1552544564430,0
1552544574431,0
1552544584433,0
1552544594435,0
1552544604436,0
1552544614438,0
1552544624438,0
1552544634440,0
1552544644441,0
1552544654441,0
1552544664446,0
1552544674449,0
1552544684452,0
1552544694455,0
1552544704456,0
1552544714458,0
1552544724463,0
1552544734463,0
1552544744469,0
1552544754473,0
1552544764472,0
1552544774475,0
1552544784480,0
1552544794480,0
1552544804486,0
1552544814489,0
1552544824491,0
1552544834493,0
1552544844495,0
1552544854495,0
1552544864497,0
1552544874500,0
1552544884499,0
1552544894505,0
1552544904509,0
1552544914511,0
1552544924511,0
1552544934516,0
1552545155251,0
1552545165247,0
1552545175249,0
1552545185249,0
1552545195250,0
1552545205251,0
1552545215256,0
1552545225257,0
1552545235257,0
1552545245260,0
1552545255261,0
1552545265261,0
1552545275266,0
1552545285270,0
1552545295271,0
1552545305275,0
1552545315280,0
1552545325280,0
1552545335281,0
1552545345286,0
1552545355286,0
1552545365288,0
1552545375289,0
1552545385290,0
1552545395292,0
1552545405297,0
1552545415297,0
1552545425298,0
1552545435299,0
1552545445301,0
1552545455300,0
1552545465303,0
1552545475305,0
1552545485310,0
1552545495312,0
1552545505315,0
1552545515316,0
1552545522978,1
1552545535321,0
1552545545323,0
1552545555327,0
1552545565328,0
1552545575329,0
1552545585329,0
1552545595331,0
1552545605335,0
1552545615336,0
1552545625339,0
1552545635343,0
1552545645348,0
1552545655348,0
1552545665353,0
1552545675357,0
1552545685358,0
1552545695362,0
1552545704426,1
1552545705360,1
1552545725365,0
1552545735371,0
1552545745373,0
1552545755378,0
1552545765381,0
1552545775382,0
1552545785388,0
1552545795392,0
1552545805393,0
1552545815396,0
1552545825397,0
1552545835399,0
1552545845404,0
1552545855401,0
1552545865404,0
1552545875407,0
1552545885409,0
1552545895415,0
1552545905415,0
1552545915419,0
1552545925423,0
1552545935424,0
1552545945425,0
1552545955428,0
1552545965432,0
1552545975435,0
1552545985442,0
1552545995440,0
1552546005444,0
1552546015448,0
1552546025451,0
1552546035453,0
1552546045457,0
1552546055458,0
1552546065458,0
1552546075457,0
1552546085461,0
1552546095465,0
1552546105466,0
1552546115469,0
1552546125472,0
1552546135472,0
1552546145478,0
1552546162908,0
1552546172903,0
1552546182907,0
1552546192905,0
1552546202909,0
1552546212914,0
1552546222910,0
1552546232913,0
1552546242913,0
1552546252915,0
1552546262919,0
1552546272922,0
1552546282923,0
1552546292924,0
1552546302924,0
1552546312928,0
1552546322932,0
1552546332934,0
1552546342936,0
1552546352941,0
1552546362944,0
1552546596947,0
1552546606942,0
1552546616945,0
1552546626945,0
1552546636947,0
1552546646950,0
1552546656954,0
1552546666957,0
1552546676957,0
1552546686962,0
1552546696964,0
1552546706965,0
1552546716966,0
1552546726966,0
1552546736973,0
1552546746975,0
1552546756979,0
1552546766980,0
1552546776980,0
1552546786981,0
1552546796982,0
1552546806984,0
1552546816986,0
1552546826987,0
1552546836989,0
1552546846990,0
1552546856991,0
1552546866992,0
